,dep,jour,P,cl_age90,pop
1715,01,2020-10-15,540,0,656955.0
1726,01,2020-10-16,530,0,656955.0
1737,01,2020-10-17,204,0,656955.0
1748,01,2020-10-18,26,0,656955.0
1759,01,2020-10-19,750,0,656955.0
1770,01,2020-10-20,795,0,656955.0
1781,01,2020-10-21,795,0,656955.0
1792,01,2020-10-22,897,0,656955.0
1803,01,2020-10-23,1011,0,656955.0
1814,01,2020-10-24,363,0,656955.0
1825,01,2020-10-25,73,0,656955.0
1836,01,2020-10-26,1187,0,656955.0
1847,01,2020-10-27,1180,0,656955.0
1858,01,2020-10-28,1131,0,656955.0
1869,01,2020-10-29,1140,0,656955.0
1880,01,2020-10-30,1057,0,656955.0
1891,01,2020-10-31,401,0,656955.0
1902,01,2020-11-01,78,0,656955.0
1913,01,2020-11-02,1331,0,656955.0
1924,01,2020-11-03,1250,0,656955.0
1935,01,2020-11-04,940,0,656955.0
1946,01,2020-11-05,963,0,656955.0
1957,01,2020-11-06,814,0,656955.0
1968,01,2020-11-07,270,0,656955.0
1979,01,2020-11-08,42,0,656955.0
1990,01,2020-11-09,868,0,656955.0
2001,01,2020-11-10,665,0,656955.0
2012,01,2020-11-11,49,0,656955.0
2023,01,2020-11-12,607,0,656955.0
2034,01,2020-11-13,515,0,656955.0
2045,01,2020-11-14,169,0,656955.0
2056,01,2020-11-15,31,0,656955.0
2067,01,2020-11-16,574,0,656955.0
2078,01,2020-11-17,352,0,656955.0
2089,01,2020-11-18,293,0,656955.0
2100,01,2020-11-19,290,0,656955.0
2111,01,2020-11-20,261,0,656955.0
2122,01,2020-11-21,79,0,656955.0
2133,01,2020-11-22,17,0,656955.0
2144,01,2020-11-23,325,0,656955.0
2155,01,2020-11-24,187,0,656955.0
2166,01,2020-11-25,176,0,656955.0
2177,01,2020-11-26,249,0,656955.0
2188,01,2020-11-27,190,0,656955.0
2199,01,2020-11-28,95,0,656955.0
2210,01,2020-11-29,13,0,656955.0
2221,01,2020-11-30,225,0,656955.0
2232,01,2020-12-01,142,0,656955.0
2243,01,2020-12-02,186,0,656955.0
2254,01,2020-12-03,151,0,656955.0
2265,01,2020-12-04,161,0,656955.0
2276,01,2020-12-05,75,0,656955.0
2287,01,2020-12-06,13,0,656955.0
2298,01,2020-12-07,257,0,656955.0
2309,01,2020-12-08,186,0,656955.0
2320,01,2020-12-09,163,0,656955.0
2331,01,2020-12-10,171,0,656955.0
2342,01,2020-12-11,166,0,656955.0
2353,01,2020-12-12,87,0,656955.0
2364,01,2020-12-13,15,0,656955.0
2375,01,2020-12-14,251,0,656955.0
2386,01,2020-12-15,207,0,656955.0
2397,01,2020-12-16,167,0,656955.0
2408,01,2020-12-17,209,0,656955.0
2419,01,2020-12-18,266,0,656955.0
2430,01,2020-12-19,192,0,656955.0
2441,01,2020-12-20,117,0,656955.0
2452,01,2020-12-21,236,0,656955.0
2463,01,2020-12-22,256,0,656955.0
2474,01,2020-12-23,182,0,656955.0
2485,01,2020-12-24,135,0,656955.0
2496,01,2020-12-25,11,0,656955.0
2507,01,2020-12-26,104,0,656955.0
2518,01,2020-12-27,23,0,656955.0
2529,01,2020-12-28,260,0,656955.0
2540,01,2020-12-29,218,0,656955.0
2551,01,2020-12-30,225,0,656955.0
2562,01,2020-12-31,184,0,656955.0
2573,01,2021-01-01,4,0,656955.0
2584,01,2021-01-02,114,0,656955.0
2595,02,2020-05-13,14,0,526050.0
2606,02,2020-05-14,15,0,526050.0
2617,02,2020-05-15,14,0,526050.0
2628,02,2020-05-16,7,0,526050.0
2639,02,2020-05-17,2,0,526050.0
2650,02,2020-05-18,6,0,526050.0
2661,02,2020-05-19,8,0,526050.0
2672,02,2020-05-20,14,0,526050.0
2683,02,2020-05-21,2,0,526050.0
2694,02,2020-05-22,8,0,526050.0
2705,02,2020-05-23,2,0,526050.0
2716,02,2020-05-24,1,0,526050.0
2727,02,2020-05-25,16,0,526050.0
2738,02,2020-05-26,8,0,526050.0
2749,02,2020-05-27,4,0,526050.0
2760,02,2020-05-28,11,0,526050.0
2771,02,2020-05-29,1,0,526050.0
2782,02,2020-05-30,3,0,526050.0
2793,02,2020-05-31,0,0,526050.0
2804,02,2020-06-01,2,0,526050.0
2815,02,2020-06-02,8,0,526050.0
2826,02,2020-06-03,4,0,526050.0
2837,02,2020-06-04,8,0,526050.0
2848,02,2020-06-05,6,0,526050.0
2859,02,2020-06-06,15,0,526050.0
2870,02,2020-06-07,4,0,526050.0
2881,02,2020-06-08,8,0,526050.0
2892,02,2020-06-09,10,0,526050.0
2903,02,2020-06-10,6,0,526050.0
2914,02,2020-06-11,5,0,526050.0
2925,02,2020-06-12,10,0,526050.0
2936,02,2020-06-13,1,0,526050.0
2947,02,2020-06-14,0,0,526050.0
2958,02,2020-06-15,6,0,526050.0
2969,02,2020-06-16,5,0,526050.0
2980,02,2020-06-17,10,0,526050.0
2991,02,2020-06-18,2,0,526050.0
3002,02,2020-06-19,0,0,526050.0
3013,02,2020-06-20,1,0,526050.0
3024,02,2020-06-21,0,0,526050.0
3035,02,2020-06-22,8,0,526050.0
3046,02,2020-06-23,5,0,526050.0
3057,02,2020-06-24,0,0,526050.0
3068,02,2020-06-25,5,0,526050.0
3079,02,2020-06-26,1,0,526050.0
3090,02,2020-06-27,1,0,526050.0
3101,02,2020-06-28,0,0,526050.0
3112,02,2020-06-29,4,0,526050.0
3123,02,2020-06-30,3,0,526050.0
3134,02,2020-07-01,2,0,526050.0
3145,02,2020-07-02,5,0,526050.0
3156,02,2020-07-03,3,0,526050.0
3167,02,2020-07-04,3,0,526050.0
3178,02,2020-07-05,0,0,526050.0
3189,02,2020-07-06,4,0,526050.0
3200,02,2020-07-07,4,0,526050.0
3211,02,2020-07-08,3,0,526050.0
3222,02,2020-07-09,5,0,526050.0
3233,02,2020-07-10,5,0,526050.0
3244,02,2020-07-11,2,0,526050.0
3255,02,2020-07-12,1,0,526050.0
3266,02,2020-07-13,4,0,526050.0
3277,02,2020-07-14,0,0,526050.0
3288,02,2020-07-15,0,0,526050.0
3299,02,2020-07-16,2,0,526050.0
3310,02,2020-07-17,3,0,526050.0
3321,02,2020-07-18,1,0,526050.0
3332,02,2020-07-19,0,0,526050.0
3343,02,2020-07-20,2,0,526050.0
3354,02,2020-07-21,4,0,526050.0
3365,02,2020-07-22,7,0,526050.0
3376,02,2020-07-23,4,0,526050.0
3387,02,2020-07-24,4,0,526050.0
3398,02,2020-07-25,2,0,526050.0
3409,02,2020-07-26,0,0,526050.0
3420,02,2020-07-27,5,0,526050.0
3431,02,2020-07-28,4,0,526050.0
3442,02,2020-07-29,1,0,526050.0
3453,02,2020-07-30,0,0,526050.0
3464,02,2020-07-31,2,0,526050.0
3475,02,2020-08-01,5,0,526050.0
3486,02,2020-08-02,0,0,526050.0
3497,02,2020-08-03,14,0,526050.0
3508,02,2020-08-04,4,0,526050.0
3519,02,2020-08-05,3,0,526050.0
3530,02,2020-08-06,1,0,526050.0
3541,02,2020-08-07,6,0,526050.0
3552,02,2020-08-08,0,0,526050.0
3563,02,2020-08-09,1,0,526050.0
3574,02,2020-08-10,9,0,526050.0
3585,02,2020-08-11,9,0,526050.0
3596,02,2020-08-12,6,0,526050.0
3607,02,2020-08-13,2,0,526050.0
3618,02,2020-08-14,0,0,526050.0
3629,02,2020-08-15,0,0,526050.0
3640,02,2020-08-16,1,0,526050.0
3651,02,2020-08-17,7,0,526050.0
