,dep,jour,incid_hosp,incid_rea,incid_dc
163,01,2020-08-29,0,0,0
164,01,2020-08-30,0,0,0
165,01,2020-08-31,0,0,0
166,01,2020-09-01,0,0,1
167,01,2020-09-02,1,0,0
168,01,2020-09-03,0,0,1
169,01,2020-09-04,1,0,0
170,01,2020-09-05,0,0,0
171,01,2020-09-06,0,0,0
172,01,2020-09-07,0,0,0
173,01,2020-09-08,7,0,2
174,01,2020-09-09,0,0,0
175,01,2020-09-10,0,0,0
176,01,2020-09-11,1,0,0
177,01,2020-09-12,2,0,0
178,01,2020-09-13,0,0,0
179,01,2020-09-14,0,0,0
180,01,2020-09-15,8,1,1
181,01,2020-09-16,1,0,0
182,01,2020-09-17,1,0,0
183,01,2020-09-18,0,0,0
184,01,2020-09-19,0,0,0
185,01,2020-09-20,0,0,0
186,01,2020-09-21,7,1,0
187,01,2020-09-22,2,0,0
188,01,2020-09-23,2,1,0
189,01,2020-09-24,11,1,0
190,01,2020-09-25,2,3,0
191,01,2020-09-26,3,0,0
192,01,2020-09-27,0,0,0
193,01,2020-09-28,3,0,0
194,01,2020-09-29,5,1,0
195,01,2020-09-30,2,1,0
196,01,2020-10-01,2,0,3
197,01,2020-10-02,2,1,0
198,01,2020-10-03,3,1,0
199,01,2020-10-04,6,0,0
200,01,2020-10-05,1,0,0
201,01,2020-10-06,2,0,0
202,01,2020-10-07,2,0,0
203,01,2020-10-08,6,3,0
204,01,2020-10-09,2,1,0
205,01,2020-10-10,5,1,1
206,01,2020-10-11,2,0,0
207,01,2020-10-12,5,1,1
208,01,2020-10-13,6,1,0
209,01,2020-10-14,2,0,1
210,01,2020-10-15,9,0,1
211,01,2020-10-16,15,0,2
212,01,2020-10-17,10,0,0
213,01,2020-10-18,5,1,0
214,01,2020-10-19,40,2,0
215,01,2020-10-20,33,2,2
216,01,2020-10-21,12,1,0
217,01,2020-10-22,28,1,1
218,01,2020-10-23,35,1,2
219,01,2020-10-24,17,2,2
220,01,2020-10-25,1,0,1
221,01,2020-10-26,54,6,1
222,01,2020-10-27,21,3,5
223,01,2020-10-28,31,2,2
224,01,2020-10-29,18,1,1
225,01,2020-10-30,31,6,2
226,01,2020-10-31,37,5,6
227,01,2020-11-01,15,0,1
228,01,2020-11-02,30,1,3
229,01,2020-11-03,66,7,7
230,01,2020-11-04,41,6,6
231,01,2020-11-05,57,8,11
232,01,2020-11-06,48,4,2
233,01,2020-11-07,19,4,4
234,01,2020-11-08,13,0,1
235,01,2020-11-09,38,0,8
236,01,2020-11-10,64,5,8
237,01,2020-11-11,26,5,0
238,01,2020-11-12,41,5,5
239,01,2020-11-13,37,0,10
240,01,2020-11-14,35,2,9
241,01,2020-11-15,8,0,1
242,01,2020-11-16,24,0,10
243,01,2020-11-17,40,1,6
244,01,2020-11-18,26,4,3
245,01,2020-11-19,40,3,10
246,01,2020-11-20,31,2,5
247,01,2020-11-21,19,3,3
248,01,2020-11-22,4,0,2
249,01,2020-11-23,16,0,1
250,01,2020-11-24,19,2,11
251,01,2020-11-25,18,2,6
252,01,2020-11-26,24,6,4
253,01,2020-11-27,12,3,9
254,01,2020-11-28,1,0,0
255,01,2020-11-29,7,0,5
256,01,2020-11-30,15,1,5
257,01,2020-12-01,8,1,1
258,01,2020-12-02,7,0,0
259,01,2020-12-03,11,2,6
260,01,2020-12-04,25,3,4
261,01,2020-12-05,5,2,11
262,01,2020-12-06,4,0,1
263,01,2020-12-07,18,2,9
264,01,2020-12-08,15,3,1
265,01,2020-12-09,9,2,4
266,01,2020-12-10,7,0,2
267,01,2020-12-11,9,2,1
268,01,2020-12-12,3,1,3
269,01,2020-12-13,6,0,0
270,01,2020-12-14,15,0,1
271,01,2020-12-15,5,5,4
272,01,2020-12-16,8,2,1
273,01,2020-12-17,12,0,1
274,01,2020-12-18,9,1,2
275,01,2020-12-19,5,1,4
276,01,2020-12-20,0,0,0
277,01,2020-12-21,18,2,4
278,01,2020-12-22,14,1,6
279,02,2020-03-19,38,8,10
280,02,2020-03-20,10,3,3
281,02,2020-03-21,30,4,1
282,02,2020-03-22,13,1,3
283,02,2020-03-23,27,1,2
284,02,2020-03-24,46,4,3
285,02,2020-03-25,15,5,1
286,02,2020-03-26,23,4,2
