,dep,jour,P,pop,cl_age90
71290,2B,2020-07-23,0,,0
71301,2B,2020-07-24,0,,0
71312,2B,2020-07-25,0,,0
71323,2B,2020-07-26,0,,0
71334,2B,2020-07-27,1,,0
71345,2B,2020-07-28,1,,0
71356,2B,2020-07-29,1,,0
71367,2B,2020-07-30,0,,0
71378,2B,2020-07-31,3,,0
71389,2B,2020-08-01,0,,0
71400,2B,2020-08-02,1,,0
71411,2B,2020-08-03,1,,0
71422,2B,2020-08-04,4,,0
71433,2B,2020-08-05,1,,0
71444,2B,2020-08-06,0,,0
71455,2B,2020-08-07,0,,0
71466,2B,2020-08-08,1,,0
71477,2B,2020-08-09,0,,0
71488,2B,2020-08-10,2,,0
71499,2B,2020-08-11,1,,0
71510,2B,2020-08-12,2,,0
71521,2B,2020-08-13,1,,0
71532,2B,2020-08-14,5,,0
71543,2B,2020-08-15,0,,0
71554,2B,2020-08-16,0,,0
71565,2B,2020-08-17,4,,0
71576,2B,2020-08-18,2,,0
71587,2B,2020-08-19,3,,0
71598,2B,2020-08-20,4,,0
71609,2B,2020-08-21,3,,0
71620,2B,2020-08-22,0,,0
71631,2B,2020-08-23,0,,0
71642,2B,2020-08-24,12,,0
71653,2B,2020-08-25,8,,0
71664,2B,2020-08-26,14,,0
71675,2B,2020-08-27,28,,0
71686,2B,2020-08-28,22,,0
71697,2B,2020-08-29,2,,0
71708,2B,2020-08-30,3,,0
71719,2B,2020-08-31,22,,0
71730,2B,2020-09-01,19,,0
71741,2B,2020-09-02,28,,0
71752,2B,2020-09-03,28,,0
71763,2B,2020-09-04,41,,0
71774,2B,2020-09-05,7,,0
71785,2B,2020-09-06,3,,0
71796,2B,2020-09-07,56,,0
71807,2B,2020-09-08,24,,0
71818,2B,2020-09-09,26,,0
71829,2B,2020-09-10,27,,0
71840,2B,2020-09-11,21,,0
71851,2B,2020-09-12,9,,0
71862,2B,2020-09-13,5,,0
71873,2B,2020-09-14,31,,0
71884,2B,2020-09-15,19,,0
71895,2B,2020-09-16,21,,0
71906,2B,2020-09-17,23,,0
71917,2B,2020-09-18,13,,0
71928,2B,2020-09-19,5,,0
71939,2B,2020-09-20,1,,0
71950,2B,2020-09-21,11,,0
71961,2B,2020-09-22,6,,0
71972,2B,2020-09-23,16,,0
71983,2B,2020-09-24,11,,0
71994,2B,2020-09-25,16,,0
72005,2B,2020-09-26,3,,0
72016,2B,2020-09-27,1,,0
72027,2B,2020-09-28,9,,0
72038,2B,2020-09-29,15,,0
72049,2B,2020-09-30,11,,0
72060,2B,2020-10-01,17,,0
72071,2B,2020-10-02,11,,0
72082,2B,2020-10-03,5,,0
72093,2B,2020-10-04,6,,0
72104,2B,2020-10-05,20,,0
72115,2B,2020-10-06,16,,0
72126,2B,2020-10-07,33,,0
72137,2B,2020-10-08,43,,0
72148,2B,2020-10-09,44,,0
72159,2B,2020-10-10,12,,0
72170,2B,2020-10-11,2,,0
72181,2B,2020-10-12,78,,0
72192,2B,2020-10-13,73,,0
72203,2B,2020-10-14,52,,0
72214,2B,2020-10-15,79,,0
72225,2B,2020-10-16,66,,0
72236,2B,2020-10-17,19,,0
72247,2B,2020-10-18,9,,0
72258,2B,2020-10-19,97,,0
72269,2B,2020-10-20,81,,0
72280,2B,2020-10-21,100,,0
72291,2B,2020-10-22,80,,0
72302,2B,2020-10-23,102,,0
72313,2B,2020-10-24,26,,0
72324,2B,2020-10-25,8,,0
72335,2B,2020-10-26,162,,0
72346,2B,2020-10-27,124,,0
72357,2B,2020-10-28,102,,0
72368,2B,2020-10-29,97,,0
72379,2B,2020-10-30,106,,0
72390,2B,2020-10-31,32,,0
72401,2B,2020-11-01,9,,0
72412,2B,2020-11-02,133,,0
72423,2B,2020-11-03,99,,0
72434,2B,2020-11-04,65,,0
72445,2B,2020-11-05,48,,0
72456,2B,2020-11-06,52,,0
72467,2B,2020-11-07,15,,0
72478,2B,2020-11-08,6,,0
72489,2B,2020-11-09,80,,0
72500,2B,2020-11-10,57,,0
72511,2B,2020-11-11,3,,0
72522,2B,2020-11-12,64,,0
72533,2B,2020-11-13,31,,0
72544,2B,2020-11-14,7,,0
72555,2B,2020-11-15,1,,0
72566,2B,2020-11-16,33,,0
72577,2B,2020-11-17,24,,0
72588,2B,2020-11-18,10,,0
72599,2B,2020-11-19,11,,0
72610,2B,2020-11-20,19,,0
72621,2B,2020-11-21,7,,0
72632,2B,2020-11-22,1,,0
72643,2B,2020-11-23,22,,0
72654,2B,2020-11-24,3,,0
72665,2B,2020-11-25,9,,0
72676,2B,2020-11-26,5,,0
72687,2B,2020-11-27,10,,0
72698,2B,2020-11-28,7,,0
72709,2B,2020-11-29,1,,0
72720,2B,2020-11-30,10,,0
72731,2B,2020-12-01,5,,0
72742,2B,2020-12-02,10,,0
72753,2B,2020-12-03,7,,0
72764,2B,2020-12-04,9,,0
72775,2B,2020-12-05,3,,0
72786,2B,2020-12-06,0,,0
72797,2B,2020-12-07,4,,0
72808,2B,2020-12-08,8,,0
72819,2B,2020-12-09,9,,0
72830,2B,2020-12-10,7,,0
72841,2B,2020-12-11,10,,0
72852,2B,2020-12-12,5,,0
72863,2B,2020-12-13,0,,0
72874,2B,2020-12-14,7,,0
72885,2B,2020-12-15,15,,0
72896,2B,2020-12-16,8,,0
72907,2B,2020-12-17,5,,0
72918,2B,2020-12-18,13,,0
72929,2B,2020-12-19,10,,0
72940,30,2020-05-13,0,,0
72951,30,2020-05-14,18,,0
72962,30,2020-05-15,15,,0
72973,30,2020-05-16,2,,0
72984,30,2020-05-17,1,,0
72995,30,2020-05-18,13,,0
73006,30,2020-05-19,20,,0
73017,30,2020-05-20,9,,0
73028,30,2020-05-21,0,,0
73039,30,2020-05-22,5,,0
73050,30,2020-05-23,5,,0
73061,30,2020-05-24,3,,0
73072,30,2020-05-25,9,,0
73083,30,2020-05-26,7,,0
73094,30,2020-05-27,10,,0
73105,30,2020-05-28,3,,0
73116,30,2020-05-29,11,,0
73127,30,2020-05-30,3,,0
73138,30,2020-05-31,1,,0
73149,30,2020-06-01,1,,0
73160,30,2020-06-02,5,,0
73171,30,2020-06-03,4,,0
73182,30,2020-06-04,27,,0
73193,30,2020-06-05,13,,0
73204,30,2020-06-06,5,,0
73215,30,2020-06-07,1,,0
73226,30,2020-06-08,6,,0
73237,30,2020-06-09,33,,0
73248,30,2020-06-10,27,,0
73259,30,2020-06-11,34,,0
73270,30,2020-06-12,29,,0
73281,30,2020-06-13,1,,0
73292,30,2020-06-14,0,,0
73303,30,2020-06-15,3,,0
73314,30,2020-06-16,4,,0
73325,30,2020-06-17,2,,0
73336,30,2020-06-18,15,,0
73347,30,2020-06-19,10,,0
73358,30,2020-06-20,0,,0
73369,30,2020-06-21,1,,0
73380,30,2020-06-22,7,,0
73391,30,2020-06-23,12,,0
73402,30,2020-06-24,5,,0
73413,30,2020-06-25,2,,0
73424,30,2020-06-26,12,,0
73435,30,2020-06-27,1,,0
73446,30,2020-06-28,0,,0
73457,30,2020-06-29,7,,0
73468,30,2020-06-30,15,,0
73479,30,2020-07-01,6,,0
73490,30,2020-07-02,2,,0
73501,30,2020-07-03,10,,0
73512,30,2020-07-04,0,,0
73523,30,2020-07-05,0,,0
73534,30,2020-07-06,4,,0
73545,30,2020-07-07,1,,0
73556,30,2020-07-08,7,,0
73567,30,2020-07-09,7,,0
73578,30,2020-07-10,4,,0
73589,30,2020-07-11,0,,0
73600,30,2020-07-12,1,,0
73611,30,2020-07-13,1,,0
73622,30,2020-07-14,1,,0
73633,30,2020-07-15,2,,0
73644,30,2020-07-16,6,,0
73655,30,2020-07-17,7,,0
73666,30,2020-07-18,2,,0
73677,30,2020-07-19,1,,0
73688,30,2020-07-20,5,,0
73699,30,2020-07-21,18,,0
73710,30,2020-07-22,16,,0
73721,30,2020-07-23,10,,0
73732,30,2020-07-24,23,,0
73743,30,2020-07-25,7,,0
73754,30,2020-07-26,0,,0
73765,30,2020-07-27,14,,0
73776,30,2020-07-28,9,,0
73787,30,2020-07-29,17,,0
73798,30,2020-07-30,12,,0
73809,30,2020-07-31,19,,0
73820,30,2020-08-01,8,,0
73831,30,2020-08-02,3,,0
73842,30,2020-08-03,16,,0
73853,30,2020-08-04,22,,0
73864,30,2020-08-05,20,,0
73875,30,2020-08-06,23,,0
73886,30,2020-08-07,15,,0
73897,30,2020-08-08,14,,0
73908,30,2020-08-09,11,,0
73919,30,2020-08-10,32,,0
73930,30,2020-08-11,29,,0
73941,30,2020-08-12,40,,0
73952,30,2020-08-13,36,,0
73963,30,2020-08-14,49,,0
73974,30,2020-08-15,12,,0
73985,30,2020-08-16,15,,0
73996,30,2020-08-17,39,,0
74007,30,2020-08-18,64,,0
74018,30,2020-08-19,66,,0
74029,30,2020-08-20,51,,0
74040,30,2020-08-21,53,,0
74051,30,2020-08-22,28,,0
74062,30,2020-08-23,9,,0
74073,30,2020-08-24,63,,0
74084,30,2020-08-25,86,,0
74095,30,2020-08-26,61,,0
74106,30,2020-08-27,53,,0
74117,30,2020-08-28,64,,0
74128,30,2020-08-29,29,,0
74139,30,2020-08-30,16,,0
74150,30,2020-08-31,81,,0
74161,30,2020-09-01,95,,0
74172,30,2020-09-02,106,,0
74183,30,2020-09-03,98,,0
74194,30,2020-09-04,87,,0
74205,30,2020-09-05,43,,0
74216,30,2020-09-06,26,,0
74227,30,2020-09-07,92,,0
74238,30,2020-09-08,121,,0
74249,30,2020-09-09,88,,0
74260,30,2020-09-10,123,,0
74271,30,2020-09-11,104,,0
74282,30,2020-09-12,33,,0
74293,30,2020-09-13,18,,0
74304,30,2020-09-14,112,,0
74315,30,2020-09-15,114,,0
74326,30,2020-09-16,140,,0
74337,30,2020-09-17,135,,0
74348,30,2020-09-18,139,,0
74359,30,2020-09-19,63,,0
74370,30,2020-09-20,21,,0
74381,30,2020-09-21,175,,0
74392,30,2020-09-22,141,,0
74403,30,2020-09-23,149,,0
74414,30,2020-09-24,126,,0
74425,30,2020-09-25,111,,0
74436,30,2020-09-26,75,,0
74447,30,2020-09-27,35,,0
74458,30,2020-09-28,161,,0
74469,30,2020-09-29,134,,0
74480,30,2020-09-30,130,,0
74491,30,2020-10-01,207,,0
74502,30,2020-10-02,194,,0
74513,30,2020-10-03,108,,0
74524,30,2020-10-04,26,,0
74535,30,2020-10-05,212,,0
74546,30,2020-10-06,265,,0
74557,30,2020-10-07,213,,0
74568,30,2020-10-08,237,,0
74579,30,2020-10-09,292,,0
74590,30,2020-10-10,232,,0
74601,30,2020-10-11,32,,0
74612,30,2020-10-12,296,,0
74623,30,2020-10-13,318,,0
74634,30,2020-10-14,316,,0
74645,30,2020-10-15,406,,0
74656,30,2020-10-16,296,,0
74667,30,2020-10-17,141,,0
74678,30,2020-10-18,53,,0
74689,30,2020-10-19,343,,0
74700,30,2020-10-20,376,,0
74711,30,2020-10-21,473,,0
74722,30,2020-10-22,710,,0
74733,30,2020-10-23,857,,0
74744,30,2020-10-24,383,,0
74755,30,2020-10-25,96,,0
74766,30,2020-10-26,760,,0
74777,30,2020-10-27,835,,0
74788,30,2020-10-28,807,,0
74799,30,2020-10-29,911,,0
74810,30,2020-10-30,880,,0
74821,30,2020-10-31,389,,0
74832,30,2020-11-01,108,,0
74843,30,2020-11-02,797,,0
74854,30,2020-11-03,732,,0
74865,30,2020-11-04,711,,0
74876,30,2020-11-05,671,,0
74887,30,2020-11-06,570,,0
74898,30,2020-11-07,225,,0
74909,30,2020-11-08,60,,0
74920,30,2020-11-09,641,,0
74931,30,2020-11-10,531,,0
74942,30,2020-11-11,63,,0
74953,30,2020-11-12,481,,0
74964,30,2020-11-13,370,,0
74975,30,2020-11-14,111,,0
74986,30,2020-11-15,26,,0
74997,30,2020-11-16,416,,0
75008,30,2020-11-17,264,,0
75019,30,2020-11-18,187,,0
75030,30,2020-11-19,152,,0
75041,30,2020-11-20,184,,0
75052,30,2020-11-21,60,,0
75063,30,2020-11-22,20,,0
75074,30,2020-11-23,191,,0
75085,30,2020-11-24,134,,0
75096,30,2020-11-25,139,,0
75107,30,2020-11-26,145,,0
75118,30,2020-11-27,122,,0
75129,30,2020-11-28,74,,0
75140,30,2020-11-29,17,,0
75151,30,2020-11-30,149,,0
75162,30,2020-12-01,124,,0
75173,30,2020-12-02,101,,0
75184,30,2020-12-03,125,,0
75195,30,2020-12-04,144,,0
75206,30,2020-12-05,81,,0
75217,30,2020-12-06,27,,0
75228,30,2020-12-07,171,,0
75239,30,2020-12-08,156,,0
75250,30,2020-12-09,120,,0
75261,30,2020-12-10,200,,0
75272,30,2020-12-11,157,,0
75283,30,2020-12-12,75,,0
75294,30,2020-12-13,62,,0
75305,30,2020-12-14,225,,0
75316,30,2020-12-15,182,,0
75327,30,2020-12-16,203,,0
75338,30,2020-12-17,196,,0
75349,30,2020-12-18,221,,0
75360,30,2020-12-19,105,,0
75371,31,2020-05-13,19,,0
75382,31,2020-05-14,9,,0
75393,31,2020-05-15,17,,0
75404,31,2020-05-16,3,,0
75415,31,2020-05-17,2,,0
75426,31,2020-05-18,9,,0
75437,31,2020-05-19,6,,0
75448,31,2020-05-20,6,,0
75459,31,2020-05-21,1,,0
75470,31,2020-05-22,7,,0
75481,31,2020-05-23,0,,0
75492,31,2020-05-24,1,,0
75503,31,2020-05-25,3,,0
75514,31,2020-05-26,0,,0
75525,31,2020-05-27,10,,0
75536,31,2020-05-28,3,,0
75547,31,2020-05-29,4,,0
75558,31,2020-05-30,0,,0
75569,31,2020-05-31,0,,0
75580,31,2020-06-01,1,,0
75591,31,2020-06-02,9,,0
75602,31,2020-06-03,6,,0
75613,31,2020-06-04,3,,0
75624,31,2020-06-05,1,,0
75635,31,2020-06-06,1,,0
75646,31,2020-06-07,0,,0
75657,31,2020-06-08,7,,0
75668,31,2020-06-09,8,,0
75679,31,2020-06-10,7,,0
75690,31,2020-06-11,9,,0
75701,31,2020-06-12,14,,0
75712,31,2020-06-13,4,,0
75723,31,2020-06-14,0,,0
75734,31,2020-06-15,4,,0
75745,31,2020-06-16,5,,0
75756,31,2020-06-17,8,,0
75767,31,2020-06-18,2,,0
75778,31,2020-06-19,22,,0
75789,31,2020-06-20,1,,0
75800,31,2020-06-21,2,,0
75811,31,2020-06-22,15,,0
75822,31,2020-06-23,7,,0
75833,31,2020-06-24,9,,0
75844,31,2020-06-25,7,,0
75855,31,2020-06-26,9,,0
75866,31,2020-06-27,1,,0
75877,31,2020-06-28,2,,0
75888,31,2020-06-29,15,,0
75899,31,2020-06-30,6,,0
75910,31,2020-07-01,10,,0
75921,31,2020-07-02,12,,0
75932,31,2020-07-03,8,,0
75943,31,2020-07-04,1,,0
75954,31,2020-07-05,0,,0
75965,31,2020-07-06,4,,0
75976,31,2020-07-07,6,,0
75987,31,2020-07-08,4,,0
75998,31,2020-07-09,15,,0
76009,31,2020-07-10,7,,0
76020,31,2020-07-11,2,,0
76031,31,2020-07-12,2,,0
76042,31,2020-07-13,8,,0
76053,31,2020-07-14,2,,0
76064,31,2020-07-15,11,,0
76075,31,2020-07-16,19,,0
76086,31,2020-07-17,13,,0
76097,31,2020-07-18,5,,0
76108,31,2020-07-19,1,,0
76119,31,2020-07-20,27,,0
76130,31,2020-07-21,20,,0
76141,31,2020-07-22,28,,0
76152,31,2020-07-23,50,,0
76163,31,2020-07-24,27,,0
76174,31,2020-07-25,10,,0
76185,31,2020-07-26,3,,0
76196,31,2020-07-27,22,,0
76207,31,2020-07-28,34,,0
76218,31,2020-07-29,34,,0
76229,31,2020-07-30,58,,0
76240,31,2020-07-31,50,,0
76251,31,2020-08-01,15,,0
76262,31,2020-08-02,8,,0
76273,31,2020-08-03,67,,0
76284,31,2020-08-04,76,,0
76295,31,2020-08-05,60,,0
76306,31,2020-08-06,106,,0
76317,31,2020-08-07,80,,0
76328,31,2020-08-08,26,,0
76339,31,2020-08-09,14,,0
76350,31,2020-08-10,60,,0
76361,31,2020-08-11,97,,0
76372,31,2020-08-12,92,,0
76383,31,2020-08-13,120,,0
76394,31,2020-08-14,123,,0
76405,31,2020-08-15,31,,0
76416,31,2020-08-16,18,,0
76427,31,2020-08-17,127,,0
76438,31,2020-08-18,152,,0
76449,31,2020-08-19,116,,0
76460,31,2020-08-20,137,,0
76471,31,2020-08-21,139,,0
76482,31,2020-08-22,47,,0
76493,31,2020-08-23,53,,0
76504,31,2020-08-24,160,,0
76515,31,2020-08-25,171,,0
76526,31,2020-08-26,157,,0
76537,31,2020-08-27,132,,0
76548,31,2020-08-28,138,,0
76559,31,2020-08-29,78,,0
76570,31,2020-08-30,60,,0
76581,31,2020-08-31,171,,0
76592,31,2020-09-01,239,,0
76603,31,2020-09-02,222,,0
76614,31,2020-09-03,352,,0
76625,31,2020-09-04,238,,0
76636,31,2020-09-05,73,,0
76647,31,2020-09-06,64,,0
76658,31,2020-09-07,379,,0
76669,31,2020-09-08,416,,0
76680,31,2020-09-09,445,,0
76691,31,2020-09-10,469,,0
76702,31,2020-09-11,379,,0
76713,31,2020-09-12,119,,0
76724,31,2020-09-13,71,,0
76735,31,2020-09-14,647,,0
76746,31,2020-09-15,585,,0
76757,31,2020-09-16,595,,0
76768,31,2020-09-17,708,,0
76779,31,2020-09-18,593,,0
76790,31,2020-09-19,226,,0
76801,31,2020-09-20,122,,0
76812,31,2020-09-21,597,,0
76823,31,2020-09-22,633,,0
76834,31,2020-09-23,528,,0
76845,31,2020-09-24,497,,0
76856,31,2020-09-25,457,,0
76867,31,2020-09-26,184,,0
76878,31,2020-09-27,103,,0
76889,31,2020-09-28,444,,0
76900,31,2020-09-29,471,,0
76911,31,2020-09-30,446,,0
76922,31,2020-10-01,464,,0
76933,31,2020-10-02,535,,0
76944,31,2020-10-03,207,,0
76955,31,2020-10-04,101,,0
76966,31,2020-10-05,546,,0
76977,31,2020-10-06,458,,0
76988,31,2020-10-07,551,,0
76999,31,2020-10-08,581,,0
77010,31,2020-10-09,647,,0
77021,31,2020-10-10,267,,0
77032,31,2020-10-11,214,,0
77043,31,2020-10-12,749,,0
77054,31,2020-10-13,702,,0
77065,31,2020-10-14,575,,0
77076,31,2020-10-15,753,,0
77087,31,2020-10-16,817,,0
77098,31,2020-10-17,343,,0
77109,31,2020-10-18,210,,0
77120,31,2020-10-19,962,,0
77131,31,2020-10-20,921,,0
77142,31,2020-10-21,979,,0
77153,31,2020-10-22,937,,0
77164,31,2020-10-23,1129,,0
77175,31,2020-10-24,418,,0
77186,31,2020-10-25,333,,0
77197,31,2020-10-26,1063,,0
77208,31,2020-10-27,943,,0
77219,31,2020-10-28,880,,0
77230,31,2020-10-29,796,,0
77241,31,2020-10-30,900,,0
77252,31,2020-10-31,389,,0
77263,31,2020-11-01,357,,0
77274,31,2020-11-02,957,,0
77285,31,2020-11-03,861,,0
77296,31,2020-11-04,709,,0
77307,31,2020-11-05,701,,0
77318,31,2020-11-06,703,,0
77329,31,2020-11-07,259,,0
77340,31,2020-11-08,141,,0
77351,31,2020-11-09,678,,0
77362,31,2020-11-10,522,,0
77373,31,2020-11-11,94,,0
77384,31,2020-11-12,541,,0
77395,31,2020-11-13,439,,0
77406,31,2020-11-14,143,,0
77417,31,2020-11-15,57,,0
77428,31,2020-11-16,389,,0
77439,31,2020-11-17,275,,0
77450,31,2020-11-18,208,,0
77461,31,2020-11-19,201,,0
77472,31,2020-11-20,244,,0
77483,31,2020-11-21,83,,0
77494,31,2020-11-22,48,,0
77505,31,2020-11-23,207,,0
77516,31,2020-11-24,180,,0
77527,31,2020-11-25,163,,0
77538,31,2020-11-26,139,,0
77549,31,2020-11-27,166,,0
77560,31,2020-11-28,88,,0
77571,31,2020-11-29,25,,0
77582,31,2020-11-30,179,,0
77593,31,2020-12-01,184,,0
77604,31,2020-12-02,130,,0
77615,31,2020-12-03,99,,0
77626,31,2020-12-04,145,,0
77637,31,2020-12-05,69,,0
77648,31,2020-12-06,29,,0
77659,31,2020-12-07,143,,0
77670,31,2020-12-08,139,,0
77681,31,2020-12-09,129,,0
77692,31,2020-12-10,135,,0
77703,31,2020-12-11,153,,0
77714,31,2020-12-12,77,,0
77725,31,2020-12-13,48,,0
77736,31,2020-12-14,164,,0
77747,31,2020-12-15,149,,0
77758,31,2020-12-16,139,,0
77769,31,2020-12-17,186,,0
77780,31,2020-12-18,178,,0
77791,31,2020-12-19,90,,0
77802,32,2020-05-13,2,,0
77813,32,2020-05-14,3,,0
77824,32,2020-05-15,1,,0
77835,32,2020-05-16,2,,0
77846,32,2020-05-17,2,,0
77857,32,2020-05-18,21,,0
77868,32,2020-05-19,9,,0
77879,32,2020-05-20,3,,0
77890,32,2020-05-21,0,,0
77901,32,2020-05-22,0,,0
77912,32,2020-05-23,1,,0
77923,32,2020-05-24,1,,0
77934,32,2020-05-25,1,,0
77945,32,2020-05-26,2,,0
77956,32,2020-05-27,6,,0
77967,32,2020-05-28,4,,0
77978,32,2020-05-29,9,,0
77989,32,2020-05-30,0,,0
78000,32,2020-05-31,0,,0
78011,32,2020-06-01,0,,0
78022,32,2020-06-02,1,,0
78033,32,2020-06-03,0,,0
78044,32,2020-06-04,1,,0
78055,32,2020-06-05,0,,0
78066,32,2020-06-06,1,,0
78077,32,2020-06-07,0,,0
78088,32,2020-06-08,0,,0
78099,32,2020-06-09,1,,0
78110,32,2020-06-10,1,,0
78121,32,2020-06-11,2,,0
78132,32,2020-06-12,0,,0
78143,32,2020-06-13,0,,0
78154,32,2020-06-14,0,,0
78165,32,2020-06-15,0,,0
78176,32,2020-06-16,0,,0
78187,32,2020-06-17,0,,0
78198,32,2020-06-18,0,,0
78209,32,2020-06-19,0,,0
78220,32,2020-06-20,0,,0
78231,32,2020-06-21,0,,0
78242,32,2020-06-22,0,,0
78253,32,2020-06-23,1,,0
78264,32,2020-06-24,1,,0
78275,32,2020-06-25,0,,0
78286,32,2020-06-26,0,,0
78297,32,2020-06-27,0,,0
78308,32,2020-06-28,0,,0
78319,32,2020-06-29,0,,0
78330,32,2020-06-30,1,,0
78341,32,2020-07-01,1,,0
78352,32,2020-07-02,0,,0
78363,32,2020-07-03,0,,0
78374,32,2020-07-04,0,,0
78385,32,2020-07-05,0,,0
78396,32,2020-07-06,0,,0
78407,32,2020-07-07,0,,0
78418,32,2020-07-08,0,,0
78429,32,2020-07-09,0,,0
78440,32,2020-07-10,0,,0
78451,32,2020-07-11,0,,0
78462,32,2020-07-12,0,,0
78473,32,2020-07-13,0,,0
78484,32,2020-07-14,0,,0
78495,32,2020-07-15,0,,0
78506,32,2020-07-16,0,,0
78517,32,2020-07-17,2,,0
78528,32,2020-07-18,0,,0
78539,32,2020-07-19,0,,0
78550,32,2020-07-20,3,,0
78561,32,2020-07-21,3,,0
78572,32,2020-07-22,0,,0
78583,32,2020-07-23,0,,0
78594,32,2020-07-24,0,,0
78605,32,2020-07-25,0,,0
78616,32,2020-07-26,0,,0
78627,32,2020-07-27,1,,0
78638,32,2020-07-28,5,,0
78649,32,2020-07-29,2,,0
78660,32,2020-07-30,1,,0
78671,32,2020-07-31,0,,0
78682,32,2020-08-01,1,,0
78693,32,2020-08-02,0,,0
78704,32,2020-08-03,1,,0
78715,32,2020-08-04,0,,0
78726,32,2020-08-05,2,,0
78737,32,2020-08-06,0,,0
78748,32,2020-08-07,1,,0
78759,32,2020-08-08,0,,0
78770,32,2020-08-09,0,,0
78781,32,2020-08-10,8,,0
78792,32,2020-08-11,4,,0
78803,32,2020-08-12,3,,0
78814,32,2020-08-13,4,,0
78825,32,2020-08-14,3,,0
78836,32,2020-08-15,1,,0
78847,32,2020-08-16,1,,0
78858,32,2020-08-17,2,,0
78869,32,2020-08-18,11,,0
78880,32,2020-08-19,9,,0
78891,32,2020-08-20,8,,0
78902,32,2020-08-21,6,,0
78913,32,2020-08-22,3,,0
78924,32,2020-08-23,1,,0
78935,32,2020-08-24,8,,0
78946,32,2020-08-25,6,,0
78957,32,2020-08-26,11,,0
78968,32,2020-08-27,7,,0
78979,32,2020-08-28,40,,0
78990,32,2020-08-29,5,,0
79001,32,2020-08-30,1,,0
79012,32,2020-08-31,10,,0
79023,32,2020-09-01,14,,0
79034,32,2020-09-02,10,,0
79045,32,2020-09-03,19,,0
79056,32,2020-09-04,18,,0
79067,32,2020-09-05,4,,0
79078,32,2020-09-06,2,,0
79089,32,2020-09-07,29,,0
79100,32,2020-09-08,32,,0
79111,32,2020-09-09,40,,0
79122,32,2020-09-10,31,,0
79133,32,2020-09-11,32,,0
79144,32,2020-09-12,6,,0
79155,32,2020-09-13,3,,0
79166,32,2020-09-14,34,,0
79177,32,2020-09-15,27,,0
79188,32,2020-09-16,78,,0
79199,32,2020-09-17,35,,0
79210,32,2020-09-18,32,,0
79221,32,2020-09-19,5,,0
79232,32,2020-09-20,4,,0
79243,32,2020-09-21,57,,0
79254,32,2020-09-22,24,,0
79265,32,2020-09-23,16,,0
79276,32,2020-09-24,34,,0
79287,32,2020-09-25,31,,0
79298,32,2020-09-26,7,,0
79309,32,2020-09-27,2,,0
79320,32,2020-09-28,31,,0
79331,32,2020-09-29,20,,0
79342,32,2020-09-30,25,,0
79353,32,2020-10-01,41,,0
79364,32,2020-10-02,20,,0
79375,32,2020-10-03,6,,0
79386,32,2020-10-04,0,,0
79397,32,2020-10-05,41,,0
79408,32,2020-10-06,21,,0
79419,32,2020-10-07,40,,0
79430,32,2020-10-08,31,,0
79441,32,2020-10-09,52,,0
79452,32,2020-10-10,15,,0
79463,32,2020-10-11,3,,0
79474,32,2020-10-12,66,,0
79485,32,2020-10-13,53,,0
79496,32,2020-10-14,35,,0
79507,32,2020-10-15,39,,0
79518,32,2020-10-16,47,,0
79529,32,2020-10-17,17,,0
79540,32,2020-10-18,0,,0
79551,32,2020-10-19,100,,0
79562,32,2020-10-20,59,,0
79573,32,2020-10-21,48,,0
79584,32,2020-10-22,83,,0
79595,32,2020-10-23,62,,0
79606,32,2020-10-24,41,,0
79617,32,2020-10-25,3,,0
79628,32,2020-10-26,102,,0
79639,32,2020-10-27,85,,0
79650,32,2020-10-28,86,,0
79661,32,2020-10-29,75,,0
79672,32,2020-10-30,61,,0
79683,32,2020-10-31,33,,0
79694,32,2020-11-01,3,,0
79705,32,2020-11-02,132,,0
79716,32,2020-11-03,95,,0
79727,32,2020-11-04,84,,0
79738,32,2020-11-05,84,,0
79749,32,2020-11-06,96,,0
79760,32,2020-11-07,23,,0
79771,32,2020-11-08,4,,0
79782,32,2020-11-09,93,,0
79793,32,2020-11-10,52,,0
79804,32,2020-11-11,7,,0
79815,32,2020-11-12,92,,0
79826,32,2020-11-13,49,,0
79837,32,2020-11-14,17,,0
79848,32,2020-11-15,4,,0
79859,32,2020-11-16,83,,0
79870,32,2020-11-17,34,,0
79881,32,2020-11-18,25,,0
79892,32,2020-11-19,34,,0
79903,32,2020-11-20,27,,0
79914,32,2020-11-21,7,,0
79925,32,2020-11-22,0,,0
79936,32,2020-11-23,30,,0
79947,32,2020-11-24,37,,0
79958,32,2020-11-25,77,,0
79969,32,2020-11-26,33,,0
79980,32,2020-11-27,29,,0
79991,32,2020-11-28,10,,0
80002,32,2020-11-29,3,,0
80013,32,2020-11-30,47,,0
80024,32,2020-12-01,60,,0
80035,32,2020-12-02,66,,0
80046,32,2020-12-03,53,,0
80057,32,2020-12-04,37,,0
80068,32,2020-12-05,14,,0
80079,32,2020-12-06,4,,0
80090,32,2020-12-07,39,,0
80101,32,2020-12-08,33,,0
80112,32,2020-12-09,41,,0
80123,32,2020-12-10,39,,0
80134,32,2020-12-11,35,,0
80145,32,2020-12-12,18,,0
80156,32,2020-12-13,4,,0
80167,32,2020-12-14,58,,0
80178,32,2020-12-15,46,,0
80189,32,2020-12-16,27,,0
80200,32,2020-12-17,21,,0
80211,32,2020-12-18,28,,0
80222,32,2020-12-19,7,,0
